ID,MSZoning,Street,Alley,LotArea,LotShape,LandContour,Utilities,LandSlope,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,CentralAir,Electrical,1stFlrSF,2ndFlrSF,TotFlrSF,LowQualFinSF,GrLivArea,Bath,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,Fence,MiscFeature,MiscVal,DaSold,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1078,RH,Pave,Pave,130,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,2,9,10,2000,2000,Flat,Metal,Stone,BrkComm,Gd,Gd,Stone,Y,FuseA,130,130,260,0,240,2,3,2,TA,5,Typ,CarPort,Fin,1,15,Gd,Gd,MnWw,NA,0,30,8,2004,VWD,Normal,425000000
1079,RH,Pave,Pave,60,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,2,9,6,2008,2008,Gable,Metal,Stone,BrkComm,Gd,Gd,Stone,Y,FuseA,60,60,120,0,100,2,3,1,TA,4,Mod,BuiltIn,Fin,1,15,Gd,Ex,MnWw,NA,0,1,4,2010,VWD,Normal,375000000
1080,RH,Pave,Pave,70,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,2,9,8,2007,2007,Gable,Metal,Stone,BrkComm,Gd,Gd,Stone,Y,FuseA,70,70,140,0,130,2,2,1,TA,3,Min1,BuiltIn,RFn,1,15,Gd,Ex,MnWw,NA,0,2,5,2009,VWD,Normal,325000000
1081,RH,Pave,Pave,80,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,2,5,7,2018,2018,Gable,Cly,Stone,Plywood,Gd,Gd,Stone,Y,FuseA,80,80,160,0,150,2,4,1,TA,5,Min1,BuiltIn,RFn,1,15,Gd,Ex,MnWw,NA,0,3,7,2020,VWD,Normal,650000000
1082,RH,Pave,Pave,90,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,2,5,7,2006,2006,Gable,Cly,BrkComm,Plywood,Gd,Gd,Stone,Y,SBrkr,90,90,180,0,160,2,3,1,TA,4,Min1,BuiltIn,RFn,1,15,Gd,Ex,MnWw,NA,0,3,8,2019,VWD,Normal,660000000
1083,RH,Pave,Pave,100,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,2,5,6,2002,2002,Mansard,Cly,BrkComm,Plywood,Po,Po,Stone,Y,SBrkr,100,100,200,0,190,2,4,1,Gd,5,Min1,BuiltIn,RFn,1,20,Gd,Ex,MnWw,NA,0,27,1,2007,VWD,Normal,550000000
1084,RH,Pave,Pave,50,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,1,5,3,2006,2006,Mansard,Cly,BrkComm,Plywood,Po,Po,Stone,Y,SBrkr,50,0,50,0,48,1,1,1,Gd,2,Sal,BuiltIn,Fin,1,5,Ex,Ex,MnWw,NA,0,15,7,2008,VWD,Normal,185000000
1085,RH,Pave,Pave,40,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,1.5,5,4,2020,2020,Mansard,Cly,BrkComm,Plywood,Po,Po,Stone,Y,SBrkr,40,20,60,0,56,2,1,1,Gd,2,Sev,Attchd,Fin,1,5,Ex,Ex,MnWw,NA,0,23,8,2021,CWD,Normal,450000000
1086,RH,Pave,Pave,28,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,1.5,6,8,2015,2015,Mansard,Cly,BrkComm,Plywood,Po,Po,Stone,N,SBrkr,28,20,48,0,46,1,1,1,Gd,2,Typ,Attchd,Fin,1,5,Ex,Ex,MnWw,NA,0,30,1,2017,VWD,Normal,200000000
1087,RH,Pave,Pave,99,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,2.5,6,5,2011,2011,Flat,Metal,BrkComm,Plywood,Po,Po,BrkTil,N,SBrkr,99,99,220,0,200,3,4,1,Gd,5,Mod,Attchd,Fin,1,20,Ex,Ex,GdPrv,NA,0,3,8,2013,VWD,Normal,450000000
1088,RH,Pave,Pave,100,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,2,6,6,2014,2014,Flat,Metal,BrkComm,Plywood,Po,Po,BrkTil,N,SBrkr,100,100,200,0,180,2,3,1,Gd,4,Mod,Attchd,Fin,1,20,Ex,TA,GdPrv,NA,0,25,2,2015,VWD,Normal,650000000
1089,RH,Pave,Pave,84,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,3,8,10,2005,2005,Flat,Metal,BrkComm,Plywood,Po,Po,BrkTil,N,SBrkr,84,84,252,0,246,3,5,1,Gd,6,Typ,Attchd,Fin,1,20,Ex,Gd,GdPrv,NA,0,12,9,2007,CWD,Normal,500000000
1090,RH,Pave,Pave,60,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,1,8,6,2021,2021,Flat,Metal,BrkComm,Plywood,Po,Po,BrkTil,N,SBrkr,60,0,60,0,58,1,1,1,Gd,2,Mod,Attchd,Fin,1,15,Ex,pp,GdPrv,NA,0,9,12,2021,CWD,Normal,550000000
1091,RH,Pave,Pave,72,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,1,8,8,1990,1990,Flat,Metal,BrkComm,Plywood,Po,Po,BrkTil,N,SBrkr,72,0,72,0,70,1,1,1,Po,2,Typ,Attchd,Fin,1,15,Ex,Po,GdPrv,NA,0,5,1,2005,VWD,Normal,250000000
1092,RH,Pave,Pave,77,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,1,8,9,1992,1992,Flat,Cly,Stone,AsphShn,Gd,Gd,BrkTil,N,SBrkr,77,0,77,0,75,1,1,1,Po,2,Typ,Attchd,Fin,1,15,Ex,Po,GdPrv,NA,0,24,6,2004,VWD,Normal,350000000
1093,RH,Pave,Pave,76,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,1,8,10,1992,1992,Shed,Cly,Stone,AsphShn,Gd,Gd,BrkTil,N,SBrkr,76,0,76,0,73,1,2,1,Po,3,Typ,Attchd,Fin,1,15,Ex,Po,GdPrv,NA,0,11,10,2002,VWD,Normal,300000000
1094,RH,Pave,Pave,88,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,1,8,9,2000,2000,Shed,Cly,Stone,Wd,Gd,Gd,BrkTil,N,SBrkr,88,0,88,0,86,1,2,1,Po,3,Typ,Attchd,Fin,1,20,Gd,Gd,GdPrv,NA,0,31,1,2004,VWD,Normal,350000000
1095,RH,Pave,Pave,90,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,1,8,7,2004,2004,Shed,Cly,Stone,Wd,Gd,Gd,Stone,N,FuseA,90,0,90,20,88,1,2,1,Po,3,Mod,Attchd,Fin,1,20,Gd,Gd,GdPrv,NA,0,9,1,2008,CWD,Normal,450000000
1096,RH,Pave,Pave,95,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,2,8,6,1995,1995,Shed,Metal,Stone,Wd,Gd,Gd,Stone,N,FuseF,95,95,190,0,185,1,3,1,Ex,4,Maj1,Attchd,Fin,1,20,Gd,Gd,GdPrv,NA,0,11,2,2000,CWD,Normal,250000000
1097,RH,Pave,Pave,88,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,2,8,8,2008,2008,Shed,Metal,Stone,Wd,Gd,Gd,Stone,N,FuseF,88,88,176,0,171,1,1,1,Ex,2,Maj1,CarPort,Fin,1,20,Gd,Gd,GdPrv,NA,0,5,6,2010,VWD,Normal,450000000
1098,RH,Pave,Pave,66,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,2,9,10,2011,2011,Shed,Metal,Stone,Wd,Gd,Gd,Stone,N,FuseF,66,66,132,0,130,1,1,1,Ex,2,Typ,CarPort,Fin,1,15,Gd,TA,GdPrv,NA,0,12,4,2013,VWD,Normal,500000000
1099,RH,Pave,Pave,33,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,2,10,8,2011,2011,Shed,Metal,Stone,Plywood,Gd,Gd,Stone,N,SBrkr,33,33,66,0,64,2,2,1,Ex,3,Typ,CarPort,Fin,1,5,Gd,TA,GdPrv,NA,0,28,5,2014,VWD,Normal,400000000
1100,RH,Pave,Pave,44,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,1,5,7,2004,2018,Shed,Cly,Stone,Plywood,Ex,Ex,Stone,N,SBrkr,44,0,44,0,40,1,1,1,Ex,2,Typ,CarPort,Fin,1,5,Gd,TA,MnWw,NA,0,4,4,2020,VWD,Normal,350000000
1101,RL,Grvl,Pave,60,Reg,HLS,AllPub,Mod,BGR,Feedr,Norm,2,9,9,2011,2011,Shed,Cly,BrkComm,Plywood,Gd,Ex,Stone,N,SBrkr,60,60,120,0,100,2,2,1,Gd,3,Typ,CarPort,Fin,1,15,Gd,Ex,MnWw,NA,0,23,11,2012,VWD,Normal,350000000
1102,RL,Pave,Pave,48,Reg,HLS,AllPub,Mod,BGR,Feedr,Norm,1,8,6,2010,2010,Shed,Cly,BrkComm,Plywood,Gd,Ex,BrkTil,N,SBrkr,48,0,48,0,40,1,1,1,Gd,2,Typ,Attchd,Fin,1,5,Gd,Ex,MnWw,NA,0,2,4,2011,VWD,Normal,150000000
1103,RL,Grvl,Pave,88,Reg,Lvl,EOL,Gtl,BGR,Feedr,Norm,1,8,7,2007,2007,Shed,Cly,BrkComm,Plywood,Gd,Ex,BrkTil,N,SBrkr,88,0,88,0,80,1,2,1,Gd,3,Typ,Attchd,Fin,1,10,Gd,Ex,GdPrv,NA,0,1,11,2008,VWD,Normal,250000000
1104,RL,Grvl,Pave,90,Reg,Lvl,EOL,Gtl,BGR,Artery,Feedr,1,8,7,2015,2015,Mansard,Cly,BrkComm,Wd,Gd,Gd,BrkTil,N,SBrkr,90,0,90,0,85,1,2,1,Gd,3,Min1,Attchd,Fin,1,10,Gd,Ex,GdPrv,NA,0,24,10,2016,VWD,Normal,290000000
1105,RL,Grvl,Pave,120,Reg,Lvl,EOL,Gtl,BGR,Artery,Feedr,1,8,7,2009,2009,Mansard,Cly,BrkComm,Wd,Gd,Gd,BrkTil,N,SBrkr,120,0,120,0,110,1,3,1,Ex,4,Min1,Attchd,Fin,1,15,Ex,Ex,GdPrv,NA,0,7,4,2010,CWD,Normal,300000000
1106,RL,Pave,Pave,66,Reg,Lvl,EOL,Gtl,BGR,Artery,Feedr,2,7,8,2015,2015,Mansard,Cly,BrkComm,Wd,Gd,Gd,Stone,N,SBrkr,66,66,132,0,120,2,3,1,Ex,4,Min1,Attchd,Fin,1,20,Ex,Ex,GdPrv,NA,0,12,6,2016,COD,Normal,350000000
1107,RL,Pave,Pave,77,Reg,Lvl,EOL,Gtl,BGR,Artery,Norm,2,7,8,2013,2013,Flat,Metal,Stone,AsphShn,Gd,TA,Stone,N,SBrkr,77,77,154,0,154,2,3,1,Ex,4,Typ,Attchd,RFn,1,20,Ex,Gd,GdPrv,NA,0,7,9,2014,CWD,Family,330000000
1108,RL,Pave,Pave,55,Reg,Lvl,AllPub,Gtl,BGR,Artery,Norm,2,7,9,2008,2008,Flat,Metal,Stone,AsphShn,Gd,TA,BrkTil,N,SBrkr,55,55,110,0,110,2,3,1,Ex,4,Typ,Attchd,RFn,1,20,Ex,Gd,GdPrv,NA,0,12,9,2009,CWD,Family,150000000
1109,RL,Grvl,Pave,48,Reg,Lvl,AllPub,Gtl,BGR,Artery,Norm,2,5,4,2019,2019,Flat,Metal,Stone,AsphShn,Ex,Ex,BrkTil,N,SBrkr,48,48,96,0,96,2,3,1,TA,4,Mod,Attchd,RFn,1,15,Ex,Gd,GdPrv,NA,0,30,10,2019,VWD,Abnorml,295000000
1110,RL,Grvl,Pave,36,Reg,Lvl,AllPub,Gtl,BGR,Artery,Norm,1,5,6,2007,2007,Flat,Metal,Stone,AsphShn,Ex,Ex,BrkTil,N,FuseA,36,0,36,0,36,1,1,1,TA,2,Min1,Attchd,RFn,1,5,Ex,Gd,GdPrv,NA,0,9,10,2008,CWD,Abnorml,85000000
1111,RL,Grvl,Pave,88,Reg,Lvl,AllPub,Gtl,BGR,Norm,Norm,1,5,6,2007,2007,Gable,Metal,AsphShn,Plywood,Ex,Ex,BrkTil,N,FuseA,88,0,88,0,88,1,2,1,TA,3,Min1,Attchd,RFn,1,15,Ex,Gd,MnWw,NA,0,20,8,2008,CWD,Abnorml,100000000
1112,RL,Pave,Pave,90,Reg,Lvl,AllPub,Gtl,BGR,Norm,Norm,1,8,7,2003,2003,Gable,Metal,AsphShn,Plywood,Ex,Ex,BrkTil,N,FuseA,90,0,90,0,90,1,2,1,Ex,3,Min1,BuiltIn,Fin,1,20,Gd,TA,MnWw,NA,0,21,7,2004,CWD,Abnorml,110000000
1113,RL,Grvl,NA,95,Reg,Lvl,AllPub,Gtl,BGR,Norm,Norm,1,8,9,2008,2008,Gable,Cly,AsphShn,Plywood,Ex,Ex,Stone,N,FuseA,95,0,95,0,95,1,2,1,Ex,3,Typ,BuiltIn,Fin,1,15,Gd,TA,MnWw,NA,0,20,9,2009,CWD,Abnorml,220000000
1114,RL,Pave,NA,100,Reg,Lvl,AllPub,Gtl,BGR,Norm,Norm,1,10,10,2004,2004,Gable,Cly,AsphShn,Plywood,Ex,Gd,Stone,N,FuseA,100,0,100,0,100,1,2,1,Ex,3,Typ,BuiltIn,Fin,1,15,Gd,TA,MnWw,NA,0,1,11,2005,CWD,Abnorml,250000000
1115,C,Pave,NA,200,Reg,Lvl,EOL,Gtl,BGR,Feedr,Norm,3,10,8,2010,2010,Gable,Cly,AsphShn,Wd,Po,TA,Stone,N,SBrkr,200,200,600,0,600,3,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,3,1,2011,CWD,Family,550000000
1116,C,Pave,NA,250,Reg,Lvl,EOL,Gtl,BGR,Feedr,Norm,4,10,9,2006,2006,Gable,Cly,Stone,Wd,Po,TA,Stone,N,SBrkr,250,250,1000,100,1000,3,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,24,1,2007,CWD,Family,750000000
1117,C,Pave,NA,150,Reg,Lvl,EOL,Gtl,BGR,Feedr,Norm,3,8,9,2021,2021,Shed,Metal,Stone,AsphShn,Gd,Gd,Stone,N,SBrkr,150,150,450,0,450,3,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,23,12,2021,New,Family,900000000
1118,C,Pave,NA,100,Reg,Lvl,EOL,Gtl,BGR,Norm,Norm,3,8,7,2011,2011,Shed,Metal,BrkComm,AsphShn,Gd,Gd,Stone,N,SBrkr,100,100,300,0,300,3,0,0,NA,0,Min1,NA,NA,0,0,NA,NA,NA,NA,0,15,9,2012,Con,Abnorml,450000000
1119,C,Pave,NA,120,Reg,Lvl,EOL,Gtl,BGR,Norm,Norm,3,8,6,2003,2003,Shed,Metal,BrkComm,AsphShn,Gd,Ex,Stone,N,SBrkr,120,120,360,0,360,3,0,0,NA,0,Min1,NA,NA,0,0,NA,NA,NA,NA,0,23,1,2004,Con,Abnorml,300000000
1120,C,Pave,NA,150,Reg,Lvl,EOL,Gtl,BGR,Norm,Norm,4,9,6,2006,2006,Flat,Metal,BrkComm,AsphShn,TA,Ex,Stone,N,SBrkr,150,150,600,0,600,3,0,0,NA,0,Min1,NA,NA,0,0,NA,NA,NA,NA,0,20,7,2007,Con,Normal,350000000
1121,C,Pave,NA,200,Reg,Lvl,NoSewa,Gtl,BGR,Norm,Norm,4,9,6,2001,2001,Flat,Metal,BrkComm,AsphShn,TA,TA,BrkTil,N,SBrkr,200,200,800,0,800,2,0,0,NA,0,Min1,NA,NA,0,0,NA,NA,NA,NA,0,19,2,2002,CWD,Normal,550000000
1122,I,Pave,Pave,45000,Reg,Lvl,Nosewr,Gtl,BGR,Artery,Norm,1,9,8,2006,2006,Flat,Metal,BrkComm,AsphShn,Gd,TA,BrkTil,Y,SBrkr,25000,0,25000,500,23000,4,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,27,5,2007,COD,Normal,5500000000
1123,I,Pave,Pave,70000,Reg,Lvl,NoSewr,Gtl,BGR,Artery,Norm,1,9,7,2002,2002,Flat,Metal,Stone,AsphShn,Gd,TA,BrkTil,Y,SBrkr,50000,0,50000,1000,45000,4,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,26,8,2003,CWD,Family,8000000000
1124,RH,Pave,Pave,48,IR1,Lvl,AllPub,Gtl,BGR,Norm,Norm,2,7,5,2003,2003,Gable,Cly,Stone,AsphShn,Gd,TA,Stone,N,SBrkr,48,48,96,0,96,2,3,1,Gd,4,Mod,Attchd,Fin,1,15,Gd,Gd,MnWw,NA,0,26,1,2004,CWD,Abnorml,125000000
1125,RH,Pave,Pave,55,IR1,Lvl,AllPub,Gtl,BGR,Norm,Norm,2,7,4,2002,2002,Gable,Cly,Stone,AsphShn,Po,Gd,Stone,N,SBrkr,55,55,110,0,110,2,3,1,Gd,4,Mod,Attchd,Fin,1,20,Gd,Gd,MnWw,NA,0,7,3,2003,CWD,Abnorml,200000000
1126,RH,Grvl,Grvl,60,IR1,Lvl,AllPub,Gtl,BGR,Norm,Norm,1,7,5,2014,2014,Gable,Cly,Stone,BrkComm,Po,Gd,Stone,N,SBrkr,60,0,60,0,60,1,2,1,TA,3,Maj1,Attchd,Fin,1,15,Gd,Gd,MnWw,NA,0,6,3,2015,CWD,Abnorml,250000000
1127,RH,Grvl,Grvl,66,Reg,Lvl,AllPub,Gtl,BGR,Feedr,Norm,1,5,5,2012,2012,Gable,Cly,BrkComm,AsphShn,Po,TA,Stone,N,SBrkr,66,0,66,0,66,1,2,1,TA,3,Maj1,Attchd,Fin,1,5,Gd,Gd,MnWw,NA,0,25,6,2013,CWD,Abnorml,270000000
1128,RH,Grvl,Pave,72,Reg,Lvl,AllPub,Gtl,BGR,Feedr,Norm,1,5,4,2018,2018,Gable,Cly,BrkComm,AsphShn,Po,TA,Stone,N,SBrkr,72,0,72,0,72,1,2,1,TA,3,Maj1,Attchd,Fin,1,10,Gd,Gd,GdPrv,NA,0,10,1,2019,CWD,Abnorml,200000000
1129,RH,Grvl,Pave,36,Reg,Lvl,AllPub,Gtl,BGR,Feedr,Norm,1,5,3,2021,2021,Shed,Cly,BrkComm,AsphShn,Gd,TA,Stone,N,SBrkr,36,0,36,0,36,1,1,1,Po,2,Sev,Attchd,Fin,1,15,Gd,Gd,GdPrv,NA,0,7,9,2021,CWD,Normal,300000000
1130,RH,Pave,Pave,48,Reg,Lvl,AllPub,Gtl,BGR,Feedr,Norm,2,5,3,2005,2005,Shed,Cly,Stone,Wd,Gd,TA,Stone,N,SBrkr,48,48,96,0,96,2,3,1,Po,4,Sev,Attchd,RFn,1,15,Gd,Gd,GdPrv,NA,0,19,1,2006,VWD,Normal,250000000
1131,RH,Pave,Pave,55,Reg,Lvl,AllPub,Gtl,BGR,Feedr,Norm,1,9,6,2010,2010,Shed,Cly,Stone,Wd,Gd,TA,Stone,N,SBrkr,55,0,55,0,55,1,2,1,Po,3,Sev,CarPort,RFn,1,5,Gd,Ex,GdPrv,NA,0,23,12,2011,VWD,Normal,300000000
1132,RH,Pave,Pave,60,Reg,Lvl,AllPub,Gtl,BGR,Artery,Norm,2,9,7,2002,2002,Shed,Cly,BrkComm,Plywood,Gd,Ex,Stone,N,SBrkr,60,60,120,0,120,2,3,1,Po,4,Min1,CarPort,RFn,1,15,Gd,Ex,GdPrv,NA,0,21,2,2003,VWD,Normal,350000000
1133,RH,Pave,Pave,72,Reg,Lvl,AllPub,Gtl,BGR,Artery,Feedr,2,9,7,2009,2009,Mansard,Metal,BrkComm,Plywood,Gd,Ex,BrkTil,N,SBrkr,72,72,144,0,144,2,3,1,Po,4,Min1,CarPort,RFn,1,15,Ex,Ex,GdPrv,NA,0,4,5,2010,VWD,Normal,400000000
1134,RH,Pave,Pave,36,Reg,Lvl,EOL,Gtl,BGR,Artery,Feedr,2,5,8,2021,2021,Mansard,Metal,BrkComm,Plywood,Ex,Ex,BrkTil,N,FuseF,36,36,72,0,72,2,3,1,Po,4,Typ,CarPort,RFn,1,15,Ex,Ex,GdPrv,NA,0,13,8,2021,New,Normal,450000000
1135,RH,Pave,Grvl,48,Reg,Lvl,EOL,Gtl,BGR,Artery,Feedr,1,5,7,2007,2007,Mansard,Metal,BrkComm,Plywood,Ex,Gd,BrkTil,N,FuseF,48,0,48,0,48,1,1,1,Po,2,Min1,CarPort,RFn,1,5,Ex,Ex,GdPrv,NA,0,21,5,2008,Con,Normal,100000000
1136,RH,Pave,Grvl,72,Reg,Lvl,EOL,Gtl,BGR,Artery,Feedr,2,5,7,2021,2021,Mansard,Metal,BrkComm,Wd,Ex,Gd,BrkTil,N,FuseF,72,72,144,0,144,2,3,1,TA,4,Min1,CarPort,RFn,1,10,Ex,Po,GdPrv,NA,0,24,8,2021,Con,Normal,600000000
1137,RH,Pave,Grvl,48,Reg,Lvl,EOL,Gtl,BGR,Artery,Feedr,2,4,5,2000,2000,Mansard,Metal,BrkComm,Wd,Ex,Gd,BrkTil,N,FuseF,48,48,96,0,96,2,3,1,TA,4,Mod,CarPort,RFn,1,5,Ex,Po,GdPrv,NA,0,28,5,2001,Con,Normal,150000000
1138,RH,Grvl,Grvl,36,IR1,Lvl,EOL,Gtl,BGR,Artery,Feedr,1,4,5,2000,2000,Gable,Metal,BrkComm,AsphShn,Ex,Gd,BrkTil,N,FuseF,36,0,36,0,36,1,1,1,TA,2,Mod,Detchd,Fin,1,5,Ex,Po,GdPrv,NA,0,11,12,2001,Con,Normal,70000000
1139,RH,Grvl,Grvl,90,IR1,Lvl,EOL,Gtl,BGR,Norm,Norm,1,4,3,2020,2020,Gable,Metal,BrkComm,AsphShn,Ex,Gd,BrkTil,N,FuseF,90,0,90,0,90,1,2,1,TA,3,Sev,Detchd,Fin,1,5,Ex,Po,GdPrv,NA,0,22,3,2020,New,Normal,350000000
1140,RH,Pave,Pave,88,IR1,Lvl,EOL,Gtl,BGR,Norm,Norm,2,6,2,2015,2015,Gable,Metal,Stone,AsphShn,TA,Gd,BrkTil,N,FuseF,88,88,176,0,176,2,3,1,Ex,4,Sal,Detchd,Fin,1,15,Ex,Po,GdPrv,NA,0,4,10,2016,VWD,Normal,450000000
1141,RP,Pave,Pave,72,IR1,HLS,EOL,Gtl,BGR,Norm,Norm,2,6,1,2005,2005,Gable,Metal,Stone,AsphShn,TA,Gd,BrkTil,N,FuseF,72,72,144,0,144,2,3,1,Ex,4,Sal,Detchd,Fin,1,15,Ex,Po,GdPrv,NA,0,20,4,2006,VWD,Normal,175000000
1142,RP,Pave,Pave,72,IR1,HLS,EOL,Gtl,BGR,Norm,Norm,2,6,1,2014,2014,Gable,Metal,Stone,AsphShn,TA,Gd,BrkTil,N,FuseF,72,72,144,0,144,2,3,1,Ex,4,Sal,Detchd,Fin,1,15,Ex,Po,GdPrv,NA,0,8,4,2015,VWD,Normal,350000000
1143,RP,Pave,Pave,66,IR1,Lvl,AllPub,Gtl,BGR,Norm,Norm,1,6,1,2012,2012,Gable,Metal,Stone,AsphShn,TA,Gd,BrkTil,N,FuseF,66,0,66,0,66,1,2,1,Ex,3,Sal,Detchd,Fin,1,5,Ex,TA,GdPrv,NA,0,10,8,2013,VWD,Normal,200000000
1144,RP,Pave,Pave,90,IR1,Bnk,AllPub,Mod,BGR,Norm,Norm,1,6,3,2002,2002,Gable,Metal,Stone,Wd,TA,Po,Stone,N,FuseF,90,0,90,0,90,1,2,1,Ex,3,Sev,Detchd,Fin,1,15,Ex,TA,MnWw,NA,0,19,3,2003,VWD,Normal,80000000
1145,RP,Pave,Pave,120,Reg,Bnk,AllPub,Gtl,BGR,Feedr,Norm,1,7,4,2012,2012,Shed,Metal,Stone,Plywood,TA,Po,Stone,N,FuseF,120,0,120,0,120,1,2,1,Ex,3,Maj1,Detchd,Fin,1,15,Gd,TA,MnWw,NA,0,19,11,2013,CWD,Normal,350000000
1146,RP,Pave,Pave,300,Reg,Bnk,AllPub,Gtl,BGR,Feedr,Norm,2.5,7,8,2020,2020,Shed,Metal,Stone,Plywood,TA,Gd,Stone,N,SBrkr,200,200,500,0,500,2,5,1,Ex,6,Typ,Detchd,Fin,3,50,Gd,TA,MnWw,NA,0,27,6,2020,New,Normal,100000000
1147,RP,Pave,Pave,66,Reg,Lvl,AllPub,Gtl,BGR,Feedr,Norm,1,7,6,2002,2002,Shed,Metal,Stone,Plywood,Po,TA,Stone,N,SBrkr,66,0,66,0,66,1,2,1,Gd,3,Min1,Detchd,Fin,1,10,Gd,TA,MnWw,NA,0,7,4,2003,VWD,Normal,100000000
1148,RM,Pave,Pave,48,Reg,Lvl,AllPub,Gtl,BGR,Feedr,Norm,2,7,6,2001,2001,Shed,Metal,Stone,Wd,Po,TA,Stone,N,SBrkr,48,48,96,0,96,2,3,1,Gd,4,Min1,BuiltIn,Fin,1,15,Gd,Gd,MnWw,NA,0,19,8,2002,VWD,Normal,100000000
1149,RM,Pave,Pave,90,Reg,Lvl,AllPub,Gtl,BGR,Feedr,Norm,1,9,6,2020,2020,Shed,Metal,Stone,Wd,Po,TA,Stone,N,SBrkr,90,0,90,0,90,1,2,1,Gd,3,Min1,BuiltIn,Fin,1,15,Gd,Gd,MnWw,NA,0,27,6,2020,VWD,Normal,100000000
1150,RM,Pave,Pave,88,Reg,Lvl,AllPub,Gtl,BGR,Feedr,Norm,1,9,10,2016,2016,Shed,Metal,BrkComm,Wd,Po,TA,Stone,N,SBrkr,88,0,88,0,88,1,2,1,Gd,3,Typ,BuiltIn,Fin,1,15,Gd,Gd,MnWw,NA,0,19,5,2017,VWD,Abnorml,100000000
1151,RM,Pave,Grvl,72,Reg,Lvl,AllPub,Gtl,BGR,Feedr,Norm,2,9,10,2004,2004,Flat,Metal,BrkComm,Wd,Gd,Gd,Stone,N,SBrkr,72,72,144,0,144,2,3,1,Gd,4,Typ,BuiltIn,RFn,1,15,Gd,Gd,MnWw,NA,0,14,8,2005,VWD,Abnorml,100000000
1152,RM,Pave,Pave,66,IR1,Lvl,AllPub,Gtl,BGR,Feedr,Norm,2,9,8,2003,2003,Flat,Metal,BrkComm,Plywood,Gd,Gd,Stone,N,SBrkr,66,66,132,0,132,2,3,1,Gd,4,Typ,BuiltIn,RFn,1,15,Gd,Gd,MnWw,NA,0,6,2,2004,Con,Abnorml,100000000
1153,RM,Grvl,Pave,90,IR1,Lvl,AllPub,Gtl,BGR,Feedr,Norm,2,9,8,2001,2001,Flat,Metal,BrkComm,Plywood,Gd,Po,Stone,N,SBrkr,90,90,180,0,180,2,3,1,Gd,4,Typ,BuiltIn,RFn,1,15,Gd,Gd,MnWw,NA,0,12,10,2002,COD,Normal,100000000
1154,RM,Pave,Pave,88,IR1,Lvl,AllPub,Gtl,BGR,Norm,Norm,2,2,4,2016,2016,Flat,Metal,BrkComm,Plywood,Gd,Ex,Stone,N,SBrkr,88,88,176,0,176,2,3,1,Ex,4,Sev,BuiltIn,RFn,1,15,Gd,Gd,MnWw,NA,0,27,5,2017,COD,Normal,350000000
1155,RM,Pave,Pave,55,IR1,Lvl,AllPub,Gtl,BGR,Norm,Norm,1.5,2,1,2008,2008,Flat,Metal,BrkComm,Plywood,Gd,Ex,Stone,N,SBrkr,55,30,85,0,85,2,2,1,Ex,3,Sal,Attchd,RFn,1,10,Gd,Gd,GdPrv,NA,0,22,9,2009,COD,Normal,120000000
